feature,importance
num__CabinNum,0.15236221093830077
num__Age,0.1172411660003683
num__total_spending,0.07320382608541681
num__FoodCourt,0.06942381495804242
num__Spa,0.0685321199361764
num__VRDeck,0.06729609740641482
num__RoomService,0.06398877628973532
num__ShoppingMall,0.05836914120768839
cat__CryoSleep_0,0.0466231270236913
cat__CryoSleep_1,0.04410846115914154
cat__has_spending_1,0.0327285795586176
num__GroupSize,0.028052425747308835
cat__has_spending_0,0.025318824288634967
cat__HomePlanet_Earth,0.019448459063165925
cat__HomePlanet_Europa,0.013575762134261402
cat__Deck_F,0.01324571678203904
cat__Deck_G,0.013238501098224711
cat__Deck_E,0.0119680398868508
cat__Side_S,0.010740794023742069
cat__Side_P,0.010589231729388296
cat__Destination_TRAPPIST-1e,0.009419580955094525
cat__Destination_55 Cancri e,0.00862738744999043
cat__HomePlanet_Mars,0.007602075497709216
cat__Destination_PSO J318.5-22,0.005953968020708177
cat__is_solo_1,0.005825791912804166
cat__is_solo_0,0.005814099465119412
cat__Deck_C,0.005210316138132275
cat__Deck_B,0.00421179446171149
cat__Deck_D,0.0028109018830867376
cat__Deck_A,0.0016298430835630915
cat__VIP_1,0.00141870097005993
cat__VIP_0,0.0013923060408768148
cat__Deck_T,2.8158803934029472e-05
